date,flight_id,callsign,icao24,operation,runway,event_time,event_time_utc,event_lat,event_lon,event_geoaltitude_m,threshold_lat,threshold_lon,threshold_distance_m,comparison_time,comparison_time_utc,comparison_geoaltitude_m,altitude_delta_m,distance_delta_m
2026-04-01,JIA5492M1a75ac7,JIA5492M1,a75ac7,arrival,18R,1775039219,2026-04-01T10:26:59Z,32.93312072753906,-97.05069580078124,274.32,32.915813194444446,-97.05464552777778,1959.5002868406107,1775037659,2026-04-01T10:00:59Z,998.22,-723.9000000000001,-217128.52617358617
2026-04-01,AAL2519M1a158c9,AAL2519M1,a158c9,arrival,17L,1775039339,2026-04-01T10:28:59Z,32.93500997252384,-97.0257568359375,281.94,32.89832038888889,-97.00977861111112,4343.776906172131,1775036999,2026-04-01T09:49:59Z,10081.26,-9799.32,-376697.143750952
2026-04-01,UPS768M1a36659,UPS768M1,a36659,arrival,18R,1775039399,2026-04-01T10:29:59Z,32.9505615234375,-97.05053100585934,373.38,32.915813194444446,-97.05464552777778,3882.8719393075485,1775037239,2026-04-01T09:53:59Z,10043.16,-9669.78,-384938.835211305
2026-04-01,NKS201M1a8f6ef,NKS201M1,a8f6ef,departure,18R,1775039459,2026-04-01T10:30:59Z,32.880264540850106,-97.02979262994262,579.12,32.915813194444446,-97.05464552777778,4583.547614350987,1775041259,2026-04-01T11:00:59Z,11643.36,11064.24,370695.7655234417
2026-04-01,AAL3075M1a777bf,AAL3075M1,a777bf,arrival,17L,1775039519,2026-04-01T10:31:59Z,32.915679931640625,-97.02597656249998,160.02,32.89832038888889,-97.00977861111112,2452.063181532106,1775037179,2026-04-01T09:52:59Z,10393.68,-10233.66,-465861.8880363892
2026-04-01,ENY3907M1aa60bb,ENY3907M1,aa60bb,arrival,17L,1775039639,2026-04-01T10:33:59Z,32.91856384277344,-97.05075073242188,190.5,32.89832038888889,-97.00977861111112,4438.058288865742,1775038199,2026-04-01T10:09:59Z,1394.46,-1203.96,-138966.30503623036
2026-04-01,AAL3047M1a0e431,AAL3047M1,a0e431,arrival,17L,1775039759,2026-04-01T10:35:59Z,32.90866140591896,-97.02603709941008,152.4,32.89832038888889,-97.00977861111112,1904.228523762276,1775037659,2026-04-01T10:00:59Z,11018.52,-10866.12,-402215.73205046105
2026-04-01,AAL3069M1a6e131,AAL3069M1,a6e131,departure,17R,1775039999,2026-04-01T10:39:59Z,32.87187194824219,-97.02877807617188,746.76,32.91572211111111,-97.0298835,4877.007885779664,1775041739,2026-04-01T11:08:59Z,11597.64,10850.88,356365.7287264458
2026-04-01,AAL2149M1ad385f,AAL2149M1,ad385f,arrival,18R,1775040059,2026-04-01T10:40:59Z,32.938315181408896,-97.02598104671556,297.18,32.915813194444446,-97.05464552777778,3663.056394287749,1775037359,2026-04-01T09:55:59Z,,,-276466.8237604691
2026-04-01,AAL2563M1aa1be0,AAL2563M1,aa1be0,arrival,18R,1775040179,2026-04-01T10:42:59Z,32.944244384765625,-97.0544860839844,335.28000000000003,32.915813194444446,-97.05464552777778,3161.439144385643,1775037539,2026-04-01T09:58:59Z,,,-304312.0955635021
2026-04-01,AAL1090M1a9854e,AAL1090M1,a9854e,arrival,17L,1775040539,2026-04-01T10:48:59Z,32.92672367419227,-97.02592499402108,228.6,32.89832038888889,-97.00977861111112,3499.518464220937,1775038079,2026-04-01T10:07:59Z,1219.2,-990.6,-369220.586541709
2026-04-01,DAL401M1a437da,DAL401M1,a437da,departure,18R,1775040659,2026-04-01T10:50:59Z,32.88682840638241,-97.02984868263712,381.0,32.915813194444446,-97.05464552777778,3968.232421450157,1775042399,2026-04-01T11:19:59Z,10386.06,10005.06,358325.9979856936
2026-04-01,NKS1673M1a9cc41,NKS1673M1,a9cc41,arrival,18R,1775040659,2026-04-01T10:50:59Z,32.931610107421875,-97.02586669921874,259.08,32.915813194444446,-97.05464552777778,3209.459424840368,1775038499,2026-04-01T10:14:59Z,11087.1,-10828.02,-359026.00087032886
2026-04-01,UPS754M1a0be81,UPS754M1,a0be81,arrival,31L,1775040659,2026-04-01T10:50:59Z,32.91302490234375,-97.05849609374997,160.02,32.89026988888889,-97.0632764722222,2569.30028096071,1775038199,2026-04-01T10:09:59Z,8793.480000000001,-8633.460000000001,-373279.1560727468
2026-04-01,SKW6384M1aa01de,SKW6384M1,aa01de,arrival,18R,1775040719,2026-04-01T10:51:59Z,32.957215389962926,-97.05451186822388,426.72,32.915813194444446,-97.05464552777778,4603.730991699449,1775038739,2026-04-01T10:18:59Z,5166.360000000001,-4739.64,-303246.5941013448
2026-04-01,ENY4020M1a34c68,ENY4020M1,a34c68,arrival,18R,1775040899,2026-04-01T10:54:59Z,32.932449599443856,-97.05451186822388,266.7,32.915813194444446,-97.05464552777778,1849.9258983744007,1775038319,2026-04-01T10:11:59Z,3390.9,-3124.2000000000003,-430136.15021016786
2026-04-01,AAL2616M1a06f8a,AAL2616M1,a06f8a,arrival,17L,1775041019,2026-04-01T10:56:59Z,32.91578389830509,-97.05468002630738,175.26,32.89832038888889,-97.00977861111112,4619.6732423887,1775038259,2026-04-01T10:10:59Z,2948.94,-2773.6800000000003,-375000.30483118887
2026-04-01,AAL1122M1a32bf3,AAL1122M1,a32bf3,arrival,17L,1775041139,2026-04-01T10:58:59Z,32.916595458984375,-97.05465087890622,175.26000000000002,32.89832038888889,-97.00977861111112,4655.8598134701815,1775038379,2026-04-01T10:12:59Z,11955.78,-11780.52,-455640.2513425954
2026-04-01,NKS1692M1a9c631,NKS1692M1,a9c631,departure,18R,1775041139,2026-04-01T10:58:59Z,32.88963317871094,-97.05080566406248,236.22,32.915813194444446,-97.05464552777778,2933.074572647771,1775043059,2026-04-01T11:30:59Z,10759.44,10523.220000000001,350723.7454090868
2026-04-01,ENY4257M1a24014,ENY4257M1,a24014,arrival,17L,1775041319,2026-04-01T11:01:59Z,32.902656167240465,-97.05473607900188,160.01999999999998,32.89832038888889,-97.00977861111112,4224.870329107854,1775039039,2026-04-01T10:23:59Z,6438.900000000001,-6278.880000000001,-415430.1186844265
2026-04-01,NKS2207M1a88df0,NKS2207M1,a88df0,departure,18R,1775041319,2026-04-01T11:01:59Z,32.886455988479874,-97.02996078802612,350.52,32.915813194444446,-97.05464552777778,3995.896417730643,1775043059,2026-04-01T11:30:59Z,11041.38,10690.859999999999,362829.70952221146
2026-04-01,UAL375M1ab28d7,UAL375M1,ab28d7,departure,17L,1775041439,2026-04-01T11:03:59Z,32.87141961566472,-97.02979262994262,541.02,32.89832038888889,-97.00977861111112,3527.0499830566523,1775043119,2026-04-01T11:31:59Z,11620.5,11079.48,347466.7481797797
2026-04-01,DAL2183M1a3a155,DAL2183M1,a3a155,departure,18R,1775041499,2026-04-01T11:04:59Z,32.88980774960275,-97.0300728934152,297.18,32.915813194444446,-97.05464552777778,3691.1390193618327,1775043419,2026-04-01T11:36:59Z,11612.88,11315.699999999999,395020.8616765153
2026-04-01,SKW6361M1a9cb83,SKW6361M1,a9cb83,arrival,18R,1775041499,2026-04-01T11:04:59Z,32.95083773338188,-97.0543437101403,388.62,32.915813194444446,-97.05464552777778,3894.652898088077,1775039339,2026-04-01T10:28:59Z,7658.1,-7269.4800000000005,-367447.06563000777
2026-04-01,N231CEM1a20c6e,N231CEM1,a20c6e,departure,17R,1775041619,2026-04-01T11:06:59Z,32.87356101860434,-97.02984868263712,746.76,32.91572211111111,-97.0298835,4688.100715618719,1775043239,2026-04-01T11:33:59Z,14051.28,13304.52,351304.14691133366
2026-04-01,DAL1276M1a35d73,DAL1276M1,a35d73,departure,17L,1775041679,2026-04-01T11:07:59Z,32.877227783203125,-97.0301513671875,548.64,32.89832038888889,-97.00977861111112,3019.863594856699,1775043539,2026-04-01T11:38:59Z,9753.6,9204.960000000001,353795.6434241967
